Generated 182 deterministic 16x16 corrupted dungeon block textures, batch 2.
All outputs are direct pixel edits of the uploaded 16x16 base textures.

old_blood_smear_deepslate_tiles.png | base=deepslate_tiles | recipe=old_blood_smear | seed=42000
yellow_mold_polished_blackstone.png | base=polished_blackstone | recipe=yellow_mold | seed=44185
tar_seams_polished_blackstone.png | base=polished_blackstone | recipe=tar_seams | seed=44222
void_stars_polished_blackstone.png | base=polished_blackstone | recipe=void_stars | seed=44259
black_eye_knots_polished_blackstone.png | base=polished_blackstone | recipe=black_eye_knots | seed=44296
scratch_runes_polished_blackstone.png | base=polished_blackstone | recipe=scratch_runes | seed=44333
purple_bruise_bloom_polished_blackstone.png | base=polished_blackstone | recipe=purple_bruise_bloom | seed=44370
pus_bubbled_polished_blackstone.png | base=polished_blackstone | recipe=pus_bubbled | seed=44407
thread_sinew_polished_blackstone.png | base=polished_blackstone | recipe=thread_sinew | seed=44444
pale_handprint_polished_blackstone.png | base=polished_blackstone | recipe=pale_handprint | seed=44481
chitin_splintered_polished_blackstone.png | base=polished_blackstone | recipe=chitin_splintered | seed=44518
cold_blue_curse_polished_blackstone.png | base=polished_blackstone | recipe=cold_blue_curse | seed=44555
necrotic_edges_polished_blackstone.png | base=polished_blackstone | recipe=necrotic_edges | seed=44592
ritual_chalk_polished_blackstone.png | base=polished_blackstone | recipe=ritual_chalk | seed=44629
fly_egg_cluster_polished_blackstone.png | base=polished_blackstone | recipe=fly_egg_cluster | seed=44666
dark_matter_rift_polished_blackstone.png | base=polished_blackstone | recipe=dark_matter_rift | seed=44703
infected_waterline_polished_blackstone.png | base=polished_blackstone | recipe=infected_waterline | seed=44740
old_blood_smear_blackstone_top.png | base=blackstone_top | recipe=old_blood_smear | seed=45000
fresh_splatter_blackstone_top.png | base=blackstone_top | recipe=fresh_splatter | seed=45037
rust_scabbed_blackstone_top.png | base=blackstone_top | recipe=rust_scabbed | seed=45074
ashen_bone_dust_blackstone_top.png | base=blackstone_top | recipe=ashen_bone_dust | seed=45111
lichen_crawl_blackstone_top.png | base=blackstone_top | recipe=lichen_crawl | seed=45148
yellow_mold_blackstone_top.png | base=blackstone_top | recipe=yellow_mold | seed=45185
tar_seams_blackstone_top.png | base=blackstone_top | recipe=tar_seams | seed=45222
void_stars_blackstone_top.png | base=blackstone_top | recipe=void_stars | seed=45259
black_eye_knots_blackstone_top.png | base=blackstone_top | recipe=black_eye_knots | seed=45296
scratch_runes_blackstone_top.png | base=blackstone_top | recipe=scratch_runes | seed=45333
purple_bruise_bloom_blackstone_top.png | base=blackstone_top | recipe=purple_bruise_bloom | seed=45370
pus_bubbled_blackstone_top.png | base=blackstone_top | recipe=pus_bubbled | seed=45407
thread_sinew_blackstone_top.png | base=blackstone_top | recipe=thread_sinew | seed=45444
pale_handprint_blackstone_top.png | base=blackstone_top | recipe=pale_handprint | seed=45481
chitin_splintered_blackstone_top.png | base=blackstone_top | recipe=chitin_splintered | seed=45518
cold_blue_curse_blackstone_top.png | base=blackstone_top | recipe=cold_blue_curse | seed=45555
necrotic_edges_blackstone_top.png | base=blackstone_top | recipe=necrotic_edges | seed=45592
ritual_chalk_blackstone_top.png | base=blackstone_top | recipe=ritual_chalk | seed=45629
fly_egg_cluster_blackstone_top.png | base=blackstone_top | recipe=fly_egg_cluster | seed=45666
dark_matter_rift_blackstone_top.png | base=blackstone_top | recipe=dark_matter_rift | seed=45703
infected_waterline_blackstone_top.png | base=blackstone_top | recipe=infected_waterline | seed=45740
old_blood_smear_polished_deepslate.png | base=polished_deepslate | recipe=old_blood_smear | seed=46000
fresh_splatter_polished_deepslate.png | base=polished_deepslate | recipe=fresh_splatter | seed=46037
rust_scabbed_polished_deepslate.png | base=polished_deepslate | recipe=rust_scabbed | seed=46074
ashen_bone_dust_polished_deepslate.png | base=polished_deepslate | recipe=ashen_bone_dust | seed=46111
lichen_crawl_polished_deepslate.png | base=polished_deepslate | recipe=lichen_crawl | seed=46148
yellow_mold_polished_deepslate.png | base=polished_deepslate | recipe=yellow_mold | seed=46185
tar_seams_polished_deepslate.png | base=polished_deepslate | recipe=tar_seams | seed=46222
void_stars_polished_deepslate.png | base=polished_deepslate | recipe=void_stars | seed=46259
black_eye_knots_polished_deepslate.png | base=polished_deepslate | recipe=black_eye_knots | seed=46296
scratch_runes_polished_deepslate.png | base=polished_deepslate | recipe=scratch_runes | seed=46333
purple_bruise_bloom_polished_deepslate.png | base=polished_deepslate | recipe=purple_bruise_bloom | seed=46370
pus_bubbled_polished_deepslate.png | base=polished_deepslate | recipe=pus_bubbled | seed=46407
thread_sinew_polished_deepslate.png | base=polished_deepslate | recipe=thread_sinew | seed=46444
pale_handprint_polished_deepslate.png | base=polished_deepslate | recipe=pale_handprint | seed=46481
chitin_splintered_polished_deepslate.png | base=polished_deepslate | recipe=chitin_splintered | seed=46518
cold_blue_curse_polished_deepslate.png | base=polished_deepslate | recipe=cold_blue_curse | seed=46555
necrotic_edges_polished_deepslate.png | base=polished_deepslate | recipe=necrotic_edges | seed=46592
ritual_chalk_polished_deepslate.png | base=polished_deepslate | recipe=ritual_chalk | seed=46629
fly_egg_cluster_polished_deepslate.png | base=polished_deepslate | recipe=fly_egg_cluster | seed=46666
dark_matter_rift_polished_deepslate.png | base=polished_deepslate | recipe=dark_matter_rift | seed=46703
infected_waterline_polished_deepslate.png | base=polished_deepslate | recipe=infected_waterline | seed=46740
old_blood_smear_deepslate_bricks.png | base=deepslate_bricks | recipe=old_blood_smear | seed=47000
fresh_splatter_deepslate_bricks.png | base=deepslate_bricks | recipe=fresh_splatter | seed=47037
rust_scabbed_deepslate_bricks.png | base=deepslate_bricks | recipe=rust_scabbed | seed=47074
ashen_bone_dust_deepslate_bricks.png | base=deepslate_bricks | recipe=ashen_bone_dust | seed=47111
lichen_crawl_deepslate_bricks.png | base=deepslate_bricks | recipe=lichen_crawl | seed=47148
yellow_mold_deepslate_bricks.png | base=deepslate_bricks | recipe=yellow_mold | seed=47185
tar_seams_deepslate_bricks.png | base=deepslate_bricks | recipe=tar_seams | seed=47222
void_stars_deepslate_bricks.png | base=deepslate_bricks | recipe=void_stars | seed=47259
black_eye_knots_deepslate_bricks.png | base=deepslate_bricks | recipe=black_eye_knots | seed=47296
scratch_runes_deepslate_bricks.png | base=deepslate_bricks | recipe=scratch_runes | seed=47333
purple_bruise_bloom_deepslate_bricks.png | base=deepslate_bricks | recipe=purple_bruise_bloom | seed=47370
pus_bubbled_deepslate_bricks.png | base=deepslate_bricks | recipe=pus_bubbled | seed=47407
thread_sinew_deepslate_bricks.png | base=deepslate_bricks | recipe=thread_sinew | seed=47444
pale_handprint_deepslate_bricks.png | base=deepslate_bricks | recipe=pale_handprint | seed=47481
chitin_splintered_deepslate_bricks.png | base=deepslate_bricks | recipe=chitin_splintered | seed=47518
cold_blue_curse_deepslate_bricks.png | base=deepslate_bricks | recipe=cold_blue_curse | seed=47555
necrotic_edges_deepslate_bricks.png | base=deepslate_bricks | recipe=necrotic_edges | seed=47592
ritual_chalk_deepslate_bricks.png | base=deepslate_bricks | recipe=ritual_chalk | seed=47629
fly_egg_cluster_deepslate_bricks.png | base=deepslate_bricks | recipe=fly_egg_cluster | seed=47666
dark_matter_rift_deepslate_bricks.png | base=deepslate_bricks | recipe=dark_matter_rift | seed=47703
infected_waterline_deepslate_bricks.png | base=deepslate_bricks | recipe=infected_waterline | seed=47740
old_blood_smear_cobbled_deepslate.png | base=cobbled_deepslate | recipe=old_blood_smear | seed=48000
fresh_splatter_cobbled_deepslate.png | base=cobbled_deepslate | recipe=fresh_splatter | seed=48037
rust_scabbed_cobbled_deepslate.png | base=cobbled_deepslate | recipe=rust_scabbed | seed=48074
ashen_bone_dust_cobbled_deepslate.png | base=cobbled_deepslate | recipe=ashen_bone_dust | seed=48111
lichen_crawl_cobbled_deepslate.png | base=cobbled_deepslate | recipe=lichen_crawl | seed=48148
yellow_mold_cobbled_deepslate.png | base=cobbled_deepslate | recipe=yellow_mold | seed=48185
tar_seams_cobbled_deepslate.png | base=cobbled_deepslate | recipe=tar_seams | seed=48222
void_stars_cobbled_deepslate.png | base=cobbled_deepslate | recipe=void_stars | seed=48259
black_eye_knots_cobbled_deepslate.png | base=cobbled_deepslate | recipe=black_eye_knots | seed=48296
scratch_runes_cobbled_deepslate.png | base=cobbled_deepslate | recipe=scratch_runes | seed=48333
purple_bruise_bloom_cobbled_deepslate.png | base=cobbled_deepslate | recipe=purple_bruise_bloom | seed=48370
pus_bubbled_cobbled_deepslate.png | base=cobbled_deepslate | recipe=pus_bubbled | seed=48407
thread_sinew_cobbled_deepslate.png | base=cobbled_deepslate | recipe=thread_sinew | seed=48444
pale_handprint_cobbled_deepslate.png | base=cobbled_deepslate | recipe=pale_handprint | seed=48481
chitin_splintered_cobbled_deepslate.png | base=cobbled_deepslate | recipe=chitin_splintered | seed=48518
cold_blue_curse_cobbled_deepslate.png | base=cobbled_deepslate | recipe=cold_blue_curse | seed=48555
necrotic_edges_cobbled_deepslate.png | base=cobbled_deepslate | recipe=necrotic_edges | seed=48592
ritual_chalk_cobbled_deepslate.png | base=cobbled_deepslate | recipe=ritual_chalk | seed=48629
fly_egg_cluster_cobbled_deepslate.png | base=cobbled_deepslate | recipe=fly_egg_cluster | seed=48666
dark_matter_rift_cobbled_deepslate.png | base=cobbled_deepslate | recipe=dark_matter_rift | seed=48703
infected_waterline_cobbled_deepslate.png | base=cobbled_deepslate | recipe=infected_waterline | seed=48740
slaughter_lichen_deepslate_tiles.png | base=deepslate_tiles | recipe=slaughter_lichen | seed=88000
starrot_gore_deepslate_tiles.png | base=deepslate_tiles | recipe=starrot_gore | seed=88101
tarred_bone_rites_deepslate_tiles.png | base=deepslate_tiles | recipe=tarred_bone_rites | seed=88202
seeping_watcher_deepslate_tiles.png | base=deepslate_tiles | recipe=seeping_watcher | seed=88303
maggot_waterline_deepslate_tiles.png | base=deepslate_tiles | recipe=maggot_waterline | seed=88404
slaughter_lichen_blackstone_bricks.png | base=blackstone_bricks | recipe=slaughter_lichen | seed=89000
starrot_gore_blackstone_bricks.png | base=blackstone_bricks | recipe=starrot_gore | seed=89101
tarred_bone_rites_blackstone_bricks.png | base=blackstone_bricks | recipe=tarred_bone_rites | seed=89202
seeping_watcher_blackstone_bricks.png | base=blackstone_bricks | recipe=seeping_watcher | seed=89303
maggot_waterline_blackstone_bricks.png | base=blackstone_bricks | recipe=maggot_waterline | seed=89404
slaughter_lichen_polished_blackstone.png | base=polished_blackstone | recipe=slaughter_lichen | seed=90000
starrot_gore_polished_blackstone.png | base=polished_blackstone | recipe=starrot_gore | seed=90101
tarred_bone_rites_polished_blackstone.png | base=polished_blackstone | recipe=tarred_bone_rites | seed=90202
seeping_watcher_polished_blackstone.png | base=polished_blackstone | recipe=seeping_watcher | seed=90303
maggot_waterline_polished_blackstone.png | base=polished_blackstone | recipe=maggot_waterline | seed=90404
slaughter_lichen_blackstone_top.png | base=blackstone_top | recipe=slaughter_lichen | seed=91000
starrot_gore_blackstone_top.png | base=blackstone_top | recipe=starrot_gore | seed=91101
tarred_bone_rites_blackstone_top.png | base=blackstone_top | recipe=tarred_bone_rites | seed=91202
seeping_watcher_blackstone_top.png | base=blackstone_top | recipe=seeping_watcher | seed=91303
maggot_waterline_blackstone_top.png | base=blackstone_top | recipe=maggot_waterline | seed=91404
slaughter_lichen_polished_deepslate.png | base=polished_deepslate | recipe=slaughter_lichen | seed=92000
starrot_gore_polished_deepslate.png | base=polished_deepslate | recipe=starrot_gore | seed=92101
tarred_bone_rites_polished_deepslate.png | base=polished_deepslate | recipe=tarred_bone_rites | seed=92202
seeping_watcher_polished_deepslate.png | base=polished_deepslate | recipe=seeping_watcher | seed=92303
maggot_waterline_polished_deepslate.png | base=polished_deepslate | recipe=maggot_waterline | seed=92404
slaughter_lichen_deepslate_bricks.png | base=deepslate_bricks | recipe=slaughter_lichen | seed=93000
starrot_gore_deepslate_bricks.png | base=deepslate_bricks | recipe=starrot_gore | seed=93101
tarred_bone_rites_deepslate_bricks.png | base=deepslate_bricks | recipe=tarred_bone_rites | seed=93202
seeping_watcher_deepslate_bricks.png | base=deepslate_bricks | recipe=seeping_watcher | seed=93303
maggot_waterline_deepslate_bricks.png | base=deepslate_bricks | recipe=maggot_waterline | seed=93404
slaughter_lichen_cobbled_deepslate.png | base=cobbled_deepslate | recipe=slaughter_lichen | seed=94000
starrot_gore_cobbled_deepslate.png | base=cobbled_deepslate | recipe=starrot_gore | seed=94101
tarred_bone_rites_cobbled_deepslate.png | base=cobbled_deepslate | recipe=tarred_bone_rites | seed=94202
seeping_watcher_cobbled_deepslate.png | base=cobbled_deepslate | recipe=seeping_watcher | seed=94303
maggot_waterline_cobbled_deepslate.png | base=cobbled_deepslate | recipe=maggot_waterline | seed=94404
